ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
110,-3.01012101101,-inf,-0.462035459597,-2.17742195004,-1.57319782742
111,-1.14913121853,-3.16379360994,-3.17397027409,-0.750856313969,-2.06338294084
112,-0.57436808688,-5.61244145075,-3.68922165684,-1.508986282,-1.67578169957
113,-0.735042098029,-5.18414059228,-4.4005182296,-1.10902382617,-1.75586251516
114,-0.59923658111,-inf,-5.29831736655,-inf,-0.80795388067
115,-inf,-inf,-2.0151357316,-inf,-0.143065046746
116,-1.49725504784,-inf,-3.60261969069,-0.676600212903,-1.42436195687
117,-0.496036308067,-inf,-4.91963961764,-1.66464032333,-1.63732317114
118,-3.82305041186,-inf,-4.47373646591,-1.54554563372,-0.282974702804
119,-0.0770610461365,-4.60517018599,-inf,-3.56371631116,-3.32887672008
120,-0.698606500007,-inf,-1.47915832899,-5.45246804638,-1.30708716723
121,-1.49674557416,-inf,-inf,-1.71148901526,-0.518276957301
122,-0.576888456861,-inf,-2.067512247,-2.06976091555,-1.68394205175
123,-0.0905428749162,-inf,-inf,-inf,-2.44686166143
124,-inf,-inf,-0.374693449441,-3.79423996977,-1.237874356
125,-1.66080412424,-inf,-inf,-2.787433228,-0.289771209003
126,-0.799774241038,-inf,-4.14077806389,-1.01722952082,-1.75409513418
127,-0.906356308278,-inf,-3.91365782396,-1.99624549048,-0.820538058548
128,-0.234704783736,-3.78091310189,-inf,-inf,-1.67989329009
129,-1.24665278831,-inf,-2.78756894044,-1.6625157836,-0.773700928202
130,-1.00766224983,-inf,-2.50802906721,-1.1721819442,-1.41136799867
131,-1.18645126243,-inf,-inf,-0.646341640189,-1.76762441173
132,-0.660444829245,-inf,-3.32387620277,-1.52401886038,-1.47171770781
133,-0.906356308278,-inf,-3.91365782396,-1.99624549048,-0.820538058548
134,-1.32551288886,-inf,-inf,-0.735913855752,-1.36544963772
135,-1.0015309651,-inf,-inf,-2.32966878604,-0.624824527597
136,-0.499126101929,-inf,-3.39763941811,-1.60386483517,-1.84282631258
137,-1.35607085685,-inf,-inf,-2.22325679809,-0.45559147929
138,-inf,-inf,-inf,-inf,0.0
139,-0.335200438413,-inf,-inf,-2.95953396751,-1.45687903424
140,0.0,-inf,-inf,-inf,-inf
141,-0.15092180032,-inf,-inf,-2.64600700892,-2.67146026957
142,-inf,-inf,-7.78322401634,-inf,-0.000416753496342
143,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
144,-0.0705294270894,-inf,-inf,-inf,-2.6867827062
145,-0.48304190627,-inf,-inf,-1.99142675473,-1.40000595425
146,-0.117412189613,-inf,-inf,-3.33116000883,-2.58986990795
147,-0.566440016495,-inf,-2.35583052571,-2.17666388392,-1.49511104512
148,-0.268216752894,-inf,-inf,-1.86434138851,-2.52248719106
149,-inf,-3.4857760882,-1.76943689429,-inf,-0.224468064284
150,-inf,-inf,-2.824761452,-inf,-0.0611552444552
151,-0.975148744,-inf,-inf,-inf,-0.473427488185
152,-inf,-inf,-2.45257788145,-inf,-0.090002848817
153,-0.40478692334,-inf,-inf,-6.10924758276,-1.10666814637
154,-4.02099616181,-3.92272086096,-1.45343800484,-1.28318903584,-0.7954889991
155,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
156,-0.51522918068,-4.68657149509,-4.05840830756,-1.62244922205,-1.72189578789
157,-0.401970901697,-inf,-inf,-2.79746560098,-1.30920217017
158,-3.06338800849,-inf,-2.41269352322,-inf,-0.146533044544
159,-0.0771982429749,-inf,-inf,-inf,-2.59972940006
160,-0.0733280745717,-inf,-inf,-3.3280646586,-3.35694164464
161,-1.66330607447,-inf,-2.73211938128,-0.737488224621,-1.32015627289
162,-0.30807234645,-inf,-2.55194564901,-2.2587726915,-2.4921811958
163,-inf,-inf,-1.26821507305,-inf,-0.330357635621
164,-0.483839173814,-inf,-inf,-inf,-0.958187077221
165,-0.456604630631,-inf,-inf,-1.81667365827,-1.58961729993
166,-0.572919705866,-inf,-2.12137855246,-inf,-1.15119995142
167,-0.0100503358535,-inf,-inf,-4.60517018599,-inf
168,-0.121063404959,-inf,-inf,-inf,-2.17136195858
169,-0.421643993027,-inf,-inf,-2.75853491468,-1.2706543882
170,-0.0999658707331,-inf,-inf,-inf,-2.35249303165
171,-3.98746121689,-inf,-2.62528797278,-inf,-0.0953723856405
172,-0.537832628404,-inf,-3.91965604889,-1.45807595648,-1.81121212294
173,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
174,-1.86912700656,-inf,-inf,-0.167541249091,-inf
175,-0.0733280745717,-inf,-inf,-3.3280646586,-3.35694164464
176,-1.34899129375,-inf,-2.77178668074,-inf,-0.388684745535
177,-0.168188329412,-inf,-inf,-3.03106871904,-2.23922233671
178,0.0,-inf,-inf,-inf,-inf
179,-1.66330607447,-inf,-2.73211938128,-0.737488224621,-1.32015627289
180,-inf,-0.527632742082,-inf,-4.60517018599,-0.916290731874
181,-inf,-inf,-0.624063404114,-inf,-0.76736005332
182,-inf,-inf,-2.05255838145,-inf,-0.13743152718
183,-0.57436808688,-5.61244145075,-3.68922165684,-1.508986282,-1.67578169957
184,-inf,-inf,-5.29831736655,-3.10109278921,-0.0512932943876
185,-0.615697829841,-inf,-inf,-inf,-0.777102326909
186,-1.50090343065,-inf,-inf,-0.809155007119,-1.10311077833
187,-inf,-inf,-1.89660977317,-2.61852047713,-0.252298464573
188,-1.1329281671,-1.748233601,-inf,-0.685516197553,-inf
189,-1.04723692397,-inf,-4.07893551337,-0.964735463692,-1.38196558673
190,-0.307075681726,-inf,-inf,-2.00225667856,-2.04504125163
191,-0.898401027886,-inf,-3.57802216575,-0.933485109104,-1.76219406865
192,-0.695036115514,-inf,-inf,-0.830747514894,-2.72998724973
193,-inf,-inf,-1.74434992573,-0.352085744031,-2.10355704159
194,-1.29754243627,-inf,-inf,-1.26139736002,-0.812968005385
195,-0.394584696808,-inf,-3.38702137547,-3.4154560821,-1.3495016959
196,-0.906356308278,-inf,-3.91365782396,-1.99624549048,-0.820538058548
197,-0.508312544684,-inf,-inf,-1.32974718226,-2.01031763453
198,-1.14763612478,-inf,-3.62203519266,-0.832945613685,-1.50905476742
199,-0.295914399252,-inf,-inf,-inf,-1.36199636104
200,-1.49725504784,-inf,-3.60261969069,-0.676600212903,-1.42436195687
201,-inf,-inf,-3.89116706681,-inf,-0.0206329007267
202,-0.893016855021,-inf,-2.16915928664,-2.46984161382,-0.937235132124
203,-1.53607547734,-inf,-2.61188018617,-0.788277292985,-1.35964395412
204,-2.07950658986,-inf,-0.989380604333,-0.971340833245,-2.08243703268
205,-3.4781602452,-inf,-1.31308699429,-1.5196717167,-0.731132051863
206,-0.370097128556,-7.82404601086,-7.82404601086,-1.18766399838,-5.62682143352
207,-0.239545510358,-inf,-inf,-2.2212198401,-2.25820617158
208,-3.58924961317,-inf,-3.83083210603,-1.85556175352,-0.230263444488
209,-0.583197782511,-inf,-4.09065636922,-1.51887181575,-1.57889811854
210,-0.927183173041,-inf,-0.735359029369,-2.16137492444,-4.6219773043
211,-inf,-inf,-inf,-inf,0.0
212,-0.493437778425,-inf,-inf,-2.91670324532,-1.0925379445
213,-0.857657105336,-inf,-2.93911071948,-1.33315112574,-1.34981819083
214,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
215,-inf,-inf,-2.05255838145,-inf,-0.13743152718
216,-0.596674850303,-inf,-3.32407752196,-1.40523482121,-1.78352180052
217,-1.162917144,-4.87131890033,-4.81903052611,-inf,-0.397959682593
218,-0.667833126073,-inf,-4.71155499619,-2.78289398521,-0.876273707057
219,-0.735042098029,-5.18414059228,-4.4005182296,-1.10902382617,-1.75586251516
220,-0.615697829841,-inf,-inf,-inf,-0.777102326909
221,-5.0106352941,-inf,-4.60517018599,-0.699836168711,-0.720175852948
222,-inf,-inf,-inf,-inf,0.0
223,-1.34571622945,-inf,-2.97530262217,-inf,-0.373073172568
224,-0.537832628404,-inf,-3.91965604889,-1.45807595648,-1.81121212294
225,-1.66080412424,-inf,-inf,-2.787433228,-0.289771209003
226,-0.537832628404,-inf,-3.91965604889,-1.45807595648,-1.81121212294
227,-inf,-inf,-1.7470365219,-inf,-0.191511272226
228,-3.62434093298,-inf,-0.335805792078,-1.84636651872,-2.29499492373
229,-0.811191798575,-inf,-2.9127986253,-1.27126271071,-1.51017611033
230,-inf,-inf,-3.540459449,-inf,-0.0294288106908
231,-4.81027683519,-inf,-1.40560663247,-5.75884225184,-0.296411557469
232,-0.619331172815,-inf,-inf,-0.961978674588,-2.53124840525
233,-3.91202300543,-inf,-0.39304258811,-4.19970507788,-1.237874356
234,-2.92671155424,-inf,-1.68444732649,-1.48829996092,-0.625256773286
235,-0.859357327545,-inf,-2.9874416099,-1.2340242266,-1.44803815798
236,-0.0859159755603,-inf,-inf,-4.8554381218,-2.59638257617
237,-0.57436808688,-5.61244145075,-3.68922165684,-1.508986282,-1.67578169957
238,-1.59343704723,-inf,-3.3109727143,-2.53807309535,-0.383789380957
239,-1.231237967,-inf,-2.68912919331,-0.630918990355,-2.22537971506
240,-0.108839059524,-inf,-inf,-inf,-2.27181100361
241,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
242,-1.66330607447,-inf,-2.73211938128,-0.737488224621,-1.32015627289
243,-0.157208706556,-inf,-inf,-inf,-1.92775580653
244,-1.05247871133,-inf,-5.99146454711,-inf,-0.433203425581
245,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
246,-1.2644123429,-inf,-2.67685274926,-0.564543695544,-2.5232820837
247,-0.138894239992,-inf,-inf,-inf,-2.04268593092
248,-1.34882651807,-3.94604442017,-2.85830531308,-2.08972442938,-0.616117233123
249,-0.421643993027,-inf,-inf,-2.75853491468,-1.2706543882
250,-inf,-inf,-1.71521337709,-1.48890093626,-0.520111631079
251,-1.74951775437,-inf,-1.39748998041,-1.53728955523,-1.0107042401
252,-1.37831143902,-inf,-inf,-0.500924554544,-1.95174419487
253,-inf,-inf,-1.84750746419,-inf,-0.17153542612
254,0.0,-inf,-inf,-inf,-inf
255,-2.89121367293,-inf,-2.07973837668,-inf,-0.199026352185
256,-0.15092180032,-inf,-inf,-2.64600700892,-2.67146026957
257,-1.18645126243,-inf,-inf,-0.646341640189,-1.76762441173
258,-0.890978340595,-inf,-3.15988902297,-1.64088976457,-1.03984961605
259,-0.57436808688,-5.61244145075,-3.68922165684,-1.508986282,-1.67578169957
260,-0.857657105336,-inf,-2.93911071948,-1.33315112574,-1.34981819083
261,-1.13912358243,-inf,-1.84111635769,-1.42103325892,-1.27369472861
262,-0.117412189613,-inf,-inf,-3.33116000883,-2.58986990795
263,-1.55785093314,-2.70043704628,-inf,-0.496744787471,-2.17395060072
264,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
265,-1.66330607447,-inf,-2.73211938128,-0.737488224621,-1.32015627289
266,-0.906356308278,-inf,-3.91365782396,-1.99624549048,-0.820538058548
267,-inf,-inf,-0.814459413439,-0.725084673907,-2.61952074892
268,-inf,-inf,-1.94963931599,-inf,-0.153530501807
269,-inf,-inf,-inf,-inf,0.0
270,-1.52791777522,-inf,-inf,-1.59448532655,-0.544727175442
271,-inf,-inf,-2.07208534223,-3.66333670077,-0.164367353798
272,-0.906356308278,-inf,-3.91365782396,-1.99624549048,-0.820538058548
273,-inf,-1.1711829815,-inf,-2.31939221131,-0.524811865741
274,-0.620652021796,-inf,-inf,-1.97755004587,-1.12701705868
275,-1.24537017662,-inf,-1.50354399907,-1.6978646427,-1.18171946017
276,-inf,-inf,-1.23645158969,-2.97733756383,-0.417549545608
277,-inf,-inf,-inf,-inf,0.0
278,0.0,-inf,-inf,-inf,-inf
279,-0.503188178278,-inf,-inf,-2.69736490205,-1.11468938685
280,-2.89121367293,-inf,-2.07973837668,-inf,-0.199026352185
281,-0.695149183231,-inf,-3.81671282562,-2.65926003693,-0.894040122939
282,-1.16547732357,-inf,-5.0106352941,-0.393201330867,-5.0106352941
283,-inf,-inf,-3.4845789906,-0.190152135909,-1.94841327927
284,-0.906356308278,-inf,-3.91365782396,-1.99624549048,-0.820538058548
285,-0.128228641461,-inf,-inf,-3.53108305613,-2.39607660652
286,-0.462398460005,-inf,-inf,-2.3113507302,-1.30526242527
287,-4.60517018599,-inf,-0.150822889735,-inf,-2.04022082853
288,-inf,-inf,-1.0847093835,-4.60517018599,-0.427710717055
289,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
290,-1.00632814906,-inf,-inf,-2.92132721329,-0.543729309587
291,-2.7756369618,-inf,-8.43381158248,-3.43057951126,-0.0997046999988
292,-1.04931127877,-inf,-2.19610495203,-1.58075581929,-1.10031544524
293,-0.0738161718174,-inf,-inf,-inf,-2.64285850281
294,-inf,-inf,-2.85142931153,-inf,-0.0594970665225
295,-0.494296321815,-4.87710390147,-inf,-3.91202300543,-1.01505926585
296,-inf,-inf,-5.35547578039,-0.0270286723879,-3.81924127198
297,-1.13921358032,-inf,-inf,-0.493423693384,-2.66791406632
298,-2.33601261418,-inf,-2.37776090413,-1.64274148304,-0.482755821702
299,-0.109984789659,-inf,-inf,-3.13711211838,-2.80108261276
300,-0.390600014083,-3.44513975837,-3.51791973767,-inf,-1.34022075941
301,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
302,-1.11013075316,-inf,-inf,-3.95458261985,-0.428758105379
303,-0.187190533905,-inf,-4.56320598689,-5.11599580975,-1.86894910792
304,-0.399965665435,-inf,-3.41266092669,-1.76860348577,-2.07042222669
305,-inf,-inf,-0.647637210768,-1.65902268126,-1.25038545514
306,-0.118547121994,-inf,-inf,-3.11847549123,-2.69465775454
307,-1.24665278831,-inf,-2.78756894044,-1.6625157836,-0.773700928202
308,-0.0947884464845,-inf,-inf,-inf,-2.40312763221
309,-0.391358405193,-inf,-inf,-2.35703496729,-1.47332775588
310,-inf,-inf,-0.105730954632,-inf,-2.2992573029
311,-0.660444829245,-inf,-3.32387620277,-1.52401886038,-1.47171770781
312,-1.34882651807,-3.94604442017,-2.85830531308,-2.08972442938,-0.616117233123
313,-0.711406130727,-inf,-2.25047226922,-2.86493908989,-1.05926493599
314,-0.563874844856,-4.60517018599,-4.53106221383,-1.96611285637,-1.30847898418
315,-inf,-5.28256900958,-0.645415777739,-inf,-0.754009925964
316,-0.546691630885,-inf,-inf,-1.20475074266,-2.10889872351
317,-0.553324527793,-inf,-1.2443006236,-inf,-1.98906911199
318,-0.94416842655,-inf,-2.7736351937,-1.12088513063,-1.50250765724
319,-inf,-inf,-1.49644500851,-inf,-0.253505853181
320,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
321,-0.0643099758275,-6.21460809842,-6.55108033504,-4.47163879336,-3.04853045912
322,-inf,-inf,-inf,-inf,0.0
323,-inf,-1.77976689985,-0.782919912067,-inf,-0.982823025247
324,-0.0483902441481,-inf,-inf,-inf,-3.05255460942
325,-1.24947457776,-inf,-4.93219996378,-3.9145291958,-0.376609369559
326,-0.483839173814,-inf,-inf,-inf,-0.958187077221
327,-0.436836878124,-inf,-inf,-1.96115059985,-1.54539914673
328,-0.57436808688,-5.61244145075,-3.68922165684,-1.508986282,-1.67578169957
329,-0.583197782511,-inf,-4.09065636922,-1.51887181575,-1.57889811854
330,-inf,-inf,-inf,-inf,0.0
331,-0.77390862374,-inf,-inf,-2.72467180787,-0.74818341763
332,-inf,-inf,-inf,-inf,0.0
333,-0.145132475782,-inf,-inf,-inf,-2.00179707632
334,-0.928450400869,-inf,-inf,-0.941637215298,-1.53783565375
335,-6.10924758276,-inf,-1.26258886265,-0.728790807059,-1.4594455262
336,-0.237898724317,-inf,-inf,-inf,-1.55250253884
337,-inf,-inf,-0.832026179511,-inf,-0.571224576603
338,-1.49725504784,-inf,-3.60261969069,-0.676600212903,-1.42436195687
339,-2.53068295672,-inf,-inf,-inf,-0.0829519569006
340,-0.522651403005,-inf,-inf,-1.91712539002,-1.34697876232
341,0.0,-inf,-inf,-inf,-inf
342,-0.390600014083,-3.44513975837,-3.51791973767,-inf,-1.34022075941
343,-2.53068295672,-inf,-inf,-inf,-0.0829519569006
344,-0.735042098029,-5.18414059228,-4.4005182296,-1.10902382617,-1.75586251516
345,-0.390600014083,-3.44513975837,-3.51791973767,-inf,-1.34022075941
346,-0.611861020258,-inf,-3.96996441024,-1.36201085354,-1.70023781446
347,-0.343958622496,-inf,-inf,-2.8242990901,-1.46234854995
348,-1.34899129375,-inf,-2.77178668074,-inf,-0.388684745535
349,-0.05999129968,-inf,-inf,-3.40119738166,-3.69313090297
350,-1.53607547734,-inf,-2.61188018617,-0.788277292985,-1.35964395412
351,-0.57577907539,-inf,-inf,-1.20622410635,-1.97754957194
352,-inf,-inf,-inf,-inf,0.0
353,-0.0733280745717,-inf,-inf,-3.3280646586,-3.35694164464
354,-0.703446681035,-inf,-inf,-1.68363793353,-1.1412292387
355,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
356,-inf,-inf,-4.5538768916,-inf,-0.0105821093305
357,-0.532889360779,-inf,-3.21887582487,-4.19970507788,-1.02696180181
358,-0.583197782511,-inf,-4.09065636922,-1.51887181575,-1.57889811854
359,-inf,-inf,-1.77968974514,-5.45246804638,-0.189921794139
360,-0.914572409946,-5.66231290457,-2.85172445842,-1.18887831576,-1.45444363226
361,-0.491966252024,-inf,-2.38734437357,-1.65103097568,-2.25520881471
362,-1.66080412424,-inf,-inf,-2.787433228,-0.289771209003
363,-0.743849778326,-inf,-inf,-0.977139100311,-1.90829571751
364,-2.42997841138,-inf,-4.20620447025,-1.51462483725,-0.389836211961
365,-0.0944725849523,-inf,-inf,-3.9506632519,-2.64640887133
366,-inf,-inf,-inf,-inf,0.0
367,-0.464021557568,-inf,-3.1881041662,-1.20954384938,-3.45249067605
368,-2.77527106259,-inf,-2.30433574138,-1.08989896936,-0.689968498464
369,-inf,-inf,-inf,-inf,0.0
370,-0.543321098719,-inf,-inf,-1.07880966137,-2.53598225983
371,-0.668810569294,-inf,-inf,-inf,-0.718090867344
372,-0.928450400869,-inf,-inf,-0.941637215298,-1.53783565375
373,-0.0797802623454,-inf,-5.36585350276,-4.01513532086,-2.91938614258
374,-0.735042098029,-5.18414059228,-4.4005182296,-1.10902382617,-1.75586251516
375,-inf,-inf,-0.374693449441,-3.79423996977,-1.237874356
376,-0.307075681726,-inf,-inf,-2.00225667856,-2.04504125163
377,-1.72937196963,-2.70257295254,-2.74077121835,-1.13386336858,-0.996245716008
378,-1.22705182864,-inf,-2.36875920828,-0.886656138431,-1.60337430002
379,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
380,-inf,-4.76768911549,-2.64910766547,-6.55108033504,-0.084080610948
381,-0.321293573148,-inf,-inf,-inf,-1.29174926468
382,-inf,-inf,-2.71467382052,-3.91202300543,-0.0901726061151
383,-inf,-inf,-2.85142931153,-inf,-0.0594970665225
384,-inf,-1.77921872054,-inf,-inf,-0.184848690031
385,-0.739304629852,-inf,-4.26398555229,-1.25102045801,-1.50383772406
386,-0.88903802571,-inf,-3.39849800501,-0.910489520515,-1.87602176322
387,-inf,-3.4814708461,-2.20810491371,-inf,-0.151603274623
388,-0.673344553264,-2.99573227355,-inf,-3.21887582487,-0.916290731874
389,-0.843970070295,-inf,-inf,-inf,-0.562118918154
390,-1.24665278831,-inf,-2.78756894044,-1.6625157836,-0.773700928202
391,-inf,-inf,-1.62531546073,-1.72623928722,-0.469686796326
392,-inf,-inf,-inf,-inf,0.0
393,-1.19591063647,-4.31965527112,-2.81796926738,-1.56684703698,-0.877459953696
394,-4.60517018599,-inf,-inf,-0.0202027073175,-4.60517018599
395,-1.22510650883,-inf,-2.37786740168,-0.888481849501,-1.59827168242
396,-0.130187871255,-4.60517018599,-inf,-3.94788268069,-2.37758875216
397,-4.02099616181,-3.92272086096,-1.45343800484,-1.28318903584,-0.7954889991
398,-inf,-inf,-inf,-inf,0.0
399,-0.592347047658,-inf,-inf,-0.816633951633,-5.28726753036
400,-0.238078238587,-inf,-3.78751995963,-2.16963346242,-2.59042997886
401,-0.825879242626,-inf,-2.42832081961,-2.11238380774,-1.04124171611
